glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,n_points,n_strokes,stroke
68,牡,7261,in_simplified_set,unicode_encoded,mu,132,18,"132,-64,0,-10,-3,-7,-7,4,-8,8,-10,-64,0,-10,-3,1,-3,4,-8,-64,0,-4,-7,-5,-5,-4,-3,-64,0,-4,-7,-1,-7,0,-5,-1,-3,-4,-3,-64,0,-8,-14,-4,-7,-64,0,-4,-16,-7,-12,-64,0,-2,-13,-6,-10,-64,0,0,-16,2,-12,-1,-8,-64,0,1,-14,5,-15,-64,0,-1,-14,1,-11,-64,0,-4,-3,-4,1,-8,4,-8,16,-64,0,-8,4,5,1,4,15,-64,0,-8,8,5,6,-64,0,-8,12,-12,15,-64,0,-8,12,-6,16,-64,0,4,11,9,13,-64,0,-2,10,-2,15,-64,0,-5,15,2,15,-64,-64,,,,,,"
69,犅,7285,in_simplified_set,unicode_encoded,gang,88,13,"88,-64,0,-7,-14,-7,1,-64,0,-1,-15,-1,0,-64,0,-1,-13,-7,-8,-64,0,-7,-13,-1,-9,-64,0,-1,-7,-7,-2,-64,0,-7,-7,-1,-3,-64,0,-4,2,-4,16,-64,0,-7,2,-7,6,-4,7,-64,0,-1,1,-1,6,-4,8,-64,0,-7,9,-4,12,-64,0,-1,9,-4,12,-64,0,7,-14,5,-5,7,1,2,10,-64,0,6,-3,1,4,-64,-64,,,,,,"
70,牝,725D,in_simplified_set,unicode_encoded,pin,54,7,"54,-64,0,3,-7,3,15,-64,0,-3,-13,-2,-1,3,1,-64,0,8,-13,7,-1,3,1,-64,0,-3,4,3,9,-64,0,8,4,3,9,-64,0,-9,-10,-6,-2,-8,3,-5,13,-64,0,-11,-6,-10,-2,-8,-6,-64,-64,,,,,,"
71,牲,7272,in_simplified_set,unicode_encoded,sheng,86,13,"86,-64,0,-9,-8,-5,-3,-64,0,-2,-9,-5,-3,-64,0,-9,-8,-13,0,-64,0,-2,-9,2,-4,-64,0,-5,-3,-5,13,-64,0,-10,6,-5,13,-64,0,-2,4,-5,13,-64,0,-9,1,-6,-1,0,3,-64,0,-9,1,-8,3,0,3,-64,0,4,-13,4,1,-64,0,0,-11,4,-5,4,-5,-64,0,10,-11,4,-5,-64,0,0,3,9,1,-64,-64,,,,,,"
72,牢,7262,in_simplified_set,unicode_encoded,lao,78,12,"78,-64,0,-7,-12,-9,6,-64,0,-7,-12,7,-12,-64,0,7,-12,7,5,-64,0,7,5,3,7,5,17,-64,0,-4,-5,-1,0,-64,0,4,-6,-1,0,-64,0,-1,0,-1,15,-64,0,-4,7,-1,11,-64,0,-9,7,-4,10,-6,16,-64,0,-4,-5,-7,1,-64,0,4,-6,5,0,-64,0,-1,11,2,8,-64,-64,,,,,,"
73,物,7269,in_simplified_set,unicode_encoded,wu,64,9,"64,-64,0,-7,-15,-5,-11,-7,-7,-4,-2,-64,0,-5,-11,-2,-6,-64,0,-3,-15,-2,-14,-64,0,-3,-11,-1,-9,-64,0,0,2,0,17,-64,0,-4,-1,-4,6,0,7,-64,0,5,-1,5,6,0,7,-64,0,-3,9,0,12,-64,0,5,9,0,12,-64,-64,,,,,,"
74,告,544A,in_simplified_set,unicode_encoded,gao,46,6,"46,-64,0,-1,-13,-1,7,-64,0,-7,-13,-7,-4,-1,-2,-64,0,4,-14,4,-5,-1,-2,-64,0,-6,2,3,2,-64,0,-8,7,4,7,-64,0,-9,4,-7,13,3,13,5,3,-64,-64,,,,,,"
75,口,53E3,in_simplified_set,unicode_encoded,kou,24,3,"24,-64,0,-7,-10,-6,9,-1,11,5,9,-64,0,5,-10,5,9,-64,0,-6,0,5,0,-64,-64,,,,,,"
76,喙,5599,in_simplified_set,unicode_encoded,hui,68,10,"68,-64,0,-9,-4,5,-9,-64,0,-3,-15,-9,-4,-64,0,-5,-11,-2,-7,-64,0,0,-13,-3,-9,-64,0,0,-7,-1,8,-4,13,-64,0,-4,-6,-8,8,-2,17,-64,0,-7,10,6,8,-64,0,2,-5,3,1,7,1,-64,0,6,-6,7,1,-64,0,2,-3,7,-3,-64,-64,,,,,,"
77,吹,5439,in_simplified_set,unicode_encoded,chui,70,9,"70,-64,0,-8,-11,-2,-11,-64,0,-8,-11,-8,-7,-2,-7,-64,0,-4,-11,-4,-7,-64,0,-7,-7,-7,5,-2,7,-2,7,-64,0,-2,7,-2,10,-8,8,-6,13,0,16,-64,0,-7,-7,-3,6,-64,0,0,-13,6,-15,-64,0,6,-15,7,-10,0,-9,-64,0,3,-14,3,-10,-64,-64,,,,,,"
