jgw_id,char,unicode,pua,otf_wh,jgw_wh,log_wh_diff,status_wh
285,好,597D,U+E378,0.63,0.56,0.05115252244738129,OK
286,禾,79BE,U+E219,0.58,0.74,0.10580372616803892,OK
287,合,5408,U+E18C,0.72,0.64,0.05115252244738129,OK
288,何,4F55,U+E253,0.64,0.54,0.07378621416091864,OK
289,河,6CB3,U+E306,0.56,0.68,0.08432088570003586,OK
290,颌he,,,,,,SEVERE
291,龢,9FA2,U+E08E,0.7,0.52,0.12909469637945764,OK
292,黑,9ED1,U+E483,0.59,0.58,0.007424018079206875,OK
293,恒,6052,U+E3C8,0.43,0.77,0.25302226959289537,OK_LOOSE
294,弘,5F18,U+E3A9,0.42,0.58,0.1401787031650368,OK
295,虹,8679,U+E3BE,1.24,0.41,0.4806378284424996,WARN
296,鸿hong,,,,,,SEVERE
297,侯,4FAF,,,,,SEVERE
298,后,540E,U+E296,0.72,0.57,0.10145764075877711,OK
299,厚hou,,,,,,SEVERE
300,後,5F8C,U+E42B,0.62,0.73,0.070931170622202,OK
301,乎,4E4E,U+E163,0.64,0.43,0.17271151840430063,OK_LOOSE
302,虍,864D,U+E16F,1.49,0.62,0.3807945789140202,WARN
303,呼,547C,U+E0A3,0.75,0.62,0.08266957389344619,OK
304,狐,72D0,U+E47F,0.67,1.67,0.3966416684467568,WARN
305,壺,58FA,U+E2F5,0.57,0.79,0.14175223561795006,OK
306,觳hu,,,,,,SEVERE
307,虎,864E,U+E171,0.49,0.59,0.08065593161363052,OK
308,唬,552C,U+E426,0.62,0.63,0.006948859955327855,OK
309,户,6237,U+E351,0.49,0.52,0.025807263606285505,OK
310,祜,795C,U+E00B,0.76,0.6,0.10266234189714778,OK
311,化,5316,U+E267,0.31,0.41,0.12142216288546281,OK
312,崋hua,,,,,,SEVERE
313,畵hua,,,,,,SEVERE
314,淮,6DEE,U+E30C,0.55,0.3,0.26324143477458145,OK_LOOSE
315,洹,6D39,U+E30F,0.94,0.37,0.4049261295327036,WARN
316,萑zhui,,,,,,SEVERE
317,锾,953E,U+E3E0,0.53,0.73,0.13904699051966685,OK
318,還,9084,U+E073,0.85,0.5,0.2304489213782739,OK_LOOSE
319,豢,8C62,U+E2B7,0.68,0.86,0.10198953853733136,OK
320,黄,9EC4,U+E3D9,0.46,0.54,0.06963592814139442,OK
321,潢,6F62,U+E320,0.54,0.86,0.2021046914205992,OK_LOOSE
322,回huan,,,,,,SEVERE
323,悔,6094,U+E304,0.47,0.68,0.16041105477051892,OK_LOOSE
324,彗,5F57,U+E0D4,0.51,0.88,0.23691249605223222,OK_LOOSE
325,晦,6666,U+E1F6,0.46,0.39,0.07169322465507488,OK
