glyph_id,modern_char,unicode,char_form,encoding_status,pinyin,svg
872,婦,5A66,in_simplified_set,unicode_encoded,fu,0872.svg
873,妃,5983,in_simplified_set,unicode_encoded,fei,0873.svg
874,妊,598A,in_simplified_set,unicode_encoded,ren,0874.svg
875,母,6BCD,in_simplified_set,unicode_encoded,mu,0875.svg
876,妣,59A3,in_simplified_set,unicode_encoded,bi,0876.svg
877,妹,59B9,in_simplified_set,unicode_encoded,mei,0877.svg
878,姪,59EA,traditional_or_variant,unicode_encoded,zhi,0878.svg
879,姼,59FC,traditional_or_variant,unicode_encoded,shi,0879.svg
880,溪,6EAA,traditional_or_variant,unicode_encoded,xi,0880.svg
881,婢,5A62,in_simplified_set,unicode_encoded,bi,0881.svg
882,娀,5A00,traditional_or_variant,unicode_encoded,song,0882.svg
883,娥,5A25,in_simplified_set,unicode_encoded,e,0883.svg
884,妸,59B8,in_simplified_set,unicode_encoded,e,0884.svg
885,依,4F9D,traditional_or_variant,unicode_encoded,yi,0885.svg
886,媚,5A9A,in_simplified_set,unicode_encoded,mei,0886.svg
887,好,597D,in_simplified_set,unicode_encoded,hao,0887.svg
888,姌,59CC,traditional_or_variant,unicode_encoded,ran,0888.svg
889,委,59D4,in_simplified_set,unicode_encoded,wei,0889.svg
890,妌,598C,in_simplified_set,unicode_encoded,jing,0890.svg
891,如,5982,in_simplified_set,unicode_encoded,ru,0891.svg
892,娕,5A15,in_simplified_set,unicode_encoded,chuo,0892.svg
893,嬪,5B2A,traditional_or_variant,unicode_encoded,pin,0893.svg
894,妟,599F,traditional_or_variant,unicode_encoded,yan,0894.svg
895,姷,59F7,in_simplified_set,unicode_encoded,you,0895.svg
896,嬰,5B30,in_simplified_set,unicode_encoded,ying,0896.svg
897,妝,599D,in_simplified_set,unicode_encoded,zhuang,0897.svg
898,媟,5A9F,traditional_or_variant,unicode_encoded,xie,0898.svg
899,婪,5A6A,in_simplified_set,unicode_encoded,lan,0899.svg
900,媿,5ABF,in_simplified_set,unicode_encoded,kui,0900.svg
901,奻,597B,traditional_or_variant,unicode_encoded,nuan,0901.svg
902,妥,59A5,in_simplified_set,unicode_encoded,tuo,0902.svg
903,民,6C11,in_simplified_set,unicode_encoded,min,0903.svg
904,乂,4E42,in_simplified_set,unicode_encoded,yi,0904.svg
905,弗,5F17,in_simplified_set,unicode_encoded,fu,0905.svg
906,氏,6C0F,in_simplified_set,unicode_encoded,shi,0906.svg
907,氒,6C12,in_simplified_set,unicode_encoded,jue,0907.svg
908,戈,6208,in_simplified_set,unicode_encoded,ge,0908.svg
909,肇,8087,in_simplified_set,unicode_encoded,zhao,0909.svg
910,戎,620E,in_simplified_set,unicode_encoded,rong,0910.svg
911,戣,6223,in_simplified_set,unicode_encoded,kui,0911.svg
912,干,5E72,traditional_or_variant,unicode_encoded,gan,0912.svg
913,戍,620D,in_simplified_set,unicode_encoded,shu,0913.svg
914,或,6216,in_simplified_set,unicode_encoded,huo,0914.svg
915,戕,6215,traditional_or_variant,unicode_encoded,qiang,0915.svg
916,,,undetermined,not_encoded,zai,0916.svg
917,缄,7F04,traditional_or_variant,unicode_encoded,jian,0917.svg
918,武,6B66,in_simplified_set,unicode_encoded,wu,0918.svg
919,戠,6220,in_simplified_set,unicode_encoded,zhi,0919.svg
920,戔,6214,in_simplified_set,unicode_encoded,jian,0920.svg
921,戉,6209,in_simplified_set,unicode_encoded,yue,0921.svg
922,我,6211,in_simplified_set,unicode_encoded,wo,0922.svg
923,義,7FA9,in_simplified_set,unicode_encoded,yi,0923.svg
